# Constructed from biom file
#OTU ID	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C1	C2	C3	C4	C5	C6	D1	D2	D3	D4	D5	D6	E1	E2	E3	E4	E5	E6	F1	F2	F3	F4	F5	F6	G1	G2	G3	G4	G5	G6	H1	H2	H3	H4	H5	H6
54f3fa8080e96ee8c48b77627ac0ae3a	31888.0	14528.0	19722.0	3853.0	1781.0	7151.0	9003.0	888.0	33983.0	3598.0	274.0	1051.0	32911.0	5515.0	8530.0	11650.0	875.0	2057.0	18207.0	1683.0	14163.0	8732.0	312.0	8885.0	18820.0	3282.0	23894.0	3491.0	685.0	4149.0	29051.0	6111.0	8835.0	2864.0	1697.0	781.0	23634.0	22424.0	7245.0	6130.0	3791.0	1501.0	22607.0	40685.0	6024.0	2380.0	14627.0	1272.0
addf1e3d60f6910392223e40dcfa898b	4595.0	2020.0	701.0	19.0	319.0	156.0	1038.0	5418.0	3266.0	98.0	80.0	82.0	608.0	1292.0	4403.0	125.0	22.0	341.0	2830.0	447.0	831.0	333.0	24.0	378.0	7391.0	639.0	3484.0	557.0	103.0	72.0	4.0	796.0	2001.0	28.0	141.0	54.0	2491.0	7051.0	4122.0	860.0	241.0	80.0	2182.0	4223.0	498.0	358.0	629.0	37.0
8c29c0ac4bed029ebbeb22b3935cc8bb	4242.0	3221.0	7422.0	862.0	1376.0	5385.0	3922.0	2344.0	7255.0	1791.0	142.0	593.0	10248.0	4125.0	4750.0	4661.0	324.0	2713.0	5794.0	1022.0	3273.0	2030.0	151.0	4360.0	6040.0	2076.0	11307.0	2878.0	330.0	2486.0	14525.0	3640.0	12711.0	3288.0	1417.0	947.0	13397.0	10437.0	8868.0	6548.0	2269.0	2780.0	10943.0	11636.0	6847.0	2768.0	14322.0	1478.0
76f087ab34b5c467c119809336f32ce1	2240.0	4269.0	5969.0	695.0	1357.0	4142.0	1390.0	1805.0	7808.0	850.0	207.0	712.0	6341.0	1914.0	1411.0	2827.0	302.0	2007.0	2003.0	509.0	922.0	1238.0	298.0	3887.0	4499.0	1536.0	2005.0	3822.0	338.0	1088.0	8532.0	1262.0	7868.0	1584.0	936.0	524.0	10647.0	5462.0	1031.0	5235.0	1864.0	520.0	9322.0	7490.0	4488.0	1723.0	12984.0	551.0
54a7680ae00cc08205d03a9bad69c427	1969.0	716.0	2084.0	495.0	50.0	892.0	994.0	33.0	576.0	278.0	16.0	0.0	389.0	2530.0	4200.0	194.0	192.0	459.0	1999.0	271.0	497.0	922.0	53.0	434.0	1351.0	1912.0	1424.0	343.0	379.0	77.0	8.0	2836.0	1125.0	0.0	670.0	37.0	1681.0	3975.0	585.0	359.0	868.0	83.0	1007.0	1890.0	632.0	212.0	1145.0	151.0
f74c6b60fbc5fff9abf00f4c9257dd66	1771.0	0.0	0.0	46.0	0.0	0.0	411.0	0.0	2.0	18.0	0.0	0.0	456.0	0.0	0.0	101.0	0.0	17.0	2170.0	0.0	0.0	388.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b0d5a4ec8e74ac4c6cb4ecb9406183d8	1389.0	9696.0	2940.0	90.0	1588.0	1778.0	1024.0	1807.0	4442.0	799.0	182.0	417.0	1278.0	397.0	1159.0	406.0	36.0	2029.0	271.0	5511.0	7069.0	65.0	403.0	9376.0	3229.0	472.0	19099.0	1034.0	48.0	4408.0	13879.0	665.0	9601.0	987.0	442.0	660.0	5715.0	3901.0	73596.0	4181.0	1313.0	5315.0	4943.0	3273.0	19670.0	1916.0	1294.0	2934.0
a24e0d4286b004ee3345384b6f377f9e	952.0	700.0	1329.0	108.0	444.0	177.0	199.0	16185.0	1491.0	158.0	492.0	78.0	573.0	7709.0	73.0	22.0	263.0	453.0	738.0	838.0	1011.0	475.0	263.0	356.0	2963.0	6094.0	2968.0	854.0	644.0	345.0	81.0	4547.0	1034.0	0.0	1074.0	0.0	789.0	1191.0	566.0	235.0	130.0	122.0	3000.0	248.0	1460.0	155.0	329.0	289.0
8eeadb26c31091a4f66abea89c9b0c9f	527.0	8.0	0.0	56.0	2.0	0.0	10.0	329.0	2.0	0.0	19.0	0.0	102.0	9.0	12.0	92.0	0.0	13.0	2.0	0.0	0.0	22.0	0.0	0.0	0.0	11.0	0.0	7.0	0.0	0.0	0.0	3.0	0.0	0.0	24.0	0.0	0.0	107.0	0.0	0.0	71.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
d7f59200267ea0793cca2853de372896	393.0	0.0	5.0	40.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	35.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
