Site	Axis1_41.7	Axis2_16.4	Axis3_11.4
dsiLZT22.LD4	0.272732242	0.300692926	-0.075605199
psiLZT22.LD3	-0.170826187	-0.010713608	0.004873398
psiLZT18.LD5	0.601389873	0.113701401	-0.065396996
dsiLZT2.LD4	-0.227895439	0.078211201	0.021425604
dsiLZT18.LD1	0.294465474	0.115342974	-0.040585953
dsiLZT2.LD2	-0.144689766	-0.073131177	-0.104103587
dsiLZT6.LD1	0.578349475	0.227660284	-0.073438126
psiLZT14.LD3	-0.340104915	0.095485968	-0.078063023
psiLZT2.LD5	-0.269796702	-0.017456172	-0.17176572
psiLZT2.LD1	-0.19495889	-0.040894528	-0.099218672
psiLZT6.LD2	0.190840616	-0.290985126	-0.0354195
dsiLZT22.LD3	-0.260126008	0.150077303	0.06693105
dsiLZT18.LD2	0.327033176	0.199731155	-0.1018727
dsiLZT18.LD5	0.184710734	0.264394207	-0.036515819
psiLZT18.LD1	0.175102105	-0.201162371	0.081362607
dsiLZT18.LD4	0.350648803	0.05296901	-0.086519061
psiLZT14.LD5	0.021988362	-0.416277298	-0.046198312
psiLZT18.LD2	0.354421298	-0.114551629	-0.153151887
dsiLZT6.LD5	-0.119354787	0.146321696	0.063983158
psiLZT6.LD4	-0.300418742	0.173826179	0.103780177
dsiLZT2.LD3	-0.202046933	0.02403601	-0.111700208
psiLZT22.LD2	0.279732027	0.017538049	0.274539867
psiLZT14.LD2	-0.104083617	-0.12986212	0.43181362
psiLZT22.LD1	0.406746758	-0.079173574	0.115858639
dsiLZT14.LD3	-0.224290635	-0.048663502	-0.117003951
dsiLZT6.LD2	0.137458577	0.203717	-0.066583095
psiLZT18.LD3	0.021188017	-0.165916055	0.349825636
dsiLZT2.LD5	-0.373140453	0.169565205	0.074469465
psiLZT10.LD3	-0.014107803	-0.172270443	-0.032041238
dsiLZT2.LD1	-0.257557656	0.041902879	-0.046708117
dsiLZT6.LD3	-0.013819658	-0.266234521	-0.035463847
psiLZT22.LD4	0.248648218	-0.23966767	0.09083351
psiLZT2.LD2	0.094561312	-0.11828427	0.314353229
psiLZT6.LD1	0.487725316	-0.064689008	-0.111793234
psiLZT10.LD4	-0.012353328	-0.030848048	-0.019107619
psiLZT6.LD5	-0.093442282	-0.046426047	0.055424522
dsiLZT10.LD2	-0.247879757	-0.007198771	-0.141742786
dsiLZT22.LD2	-0.206715855	0.188328953	0.079920306
dsiLZT14.LD4	0.06550424	-0.113404378	-0.099295869
dsiLZT14.LD2	-0.206838619	-0.043989262	-0.080406496
dsiLZT6.LD4	-0.231267792	0.095983281	0.234061672
dsiLZT22.LD1	0.219196086	0.182530114	0.076372196
psiLZT2.LD3	-0.198893206	0.030981962	-0.007529418
dsiLZT18.LD3	-0.078087519	0.111150216	0.030091009
dsiLZT10.LD3	-0.368867283	0.079536617	-0.063836358
psiLZT10.LD2	-0.12387634	-0.419809981	-0.253619086
dsiLZT10.LD4	-0.327002538	0.047924971	-0.115233789
